scenario,variant,time_ms,state,base_rtt_ms,sample_rtt_ms,min_rtt_ms,probe_cap_bytes,flight_bytes,queue_bytes,deadline_ms,round_boundary_bytes,min_stamp_ms,probe_min_ms,probe_stamp_ms,saved_cap_bytes,round_done,probe_total_ms,event
ordinary-queue,draft06,1000,ProbeBW,100,0,101,73730,584000,584000,0,0,1000,101,1000,73730,false,0,initial
ordinary-queue,draft06,1100,ProbeBW,100,0,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,1200,ProbeBW,100,200,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,1300,ProbeBW,100,300,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,1400,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,1500,ProbeBW,100,500,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,1600,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,1700,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,1800,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,1900,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,2000,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,2100,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,2200,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,2300,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,2400,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,2500,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,2600,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,2700,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,2800,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,2900,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,3000,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,3100,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,3200,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,3300,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,3400,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,3500,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,3600,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,3700,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,3800,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,3900,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,4000,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,4100,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,4200,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,4300,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,4400,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,4500,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,4600,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,4700,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,4800,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,4900,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,5000,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,5100,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,5200,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,5300,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,5400,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,5500,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,5600,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,5700,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,5800,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,5900,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,6000,ProbeBW,100,400,101,73730,584000,438000,0,0,1000,101,1000,73730,false,0,
ordinary-queue,draft06,6001,ProbeRTT,100,400,101,73730,582540,436540,0,0,1000,400,6001,73730,false,0,enter;
ordinary-queue,draft06,6100,ProbeRTT,100,400,101,73730,438000,292000,0,0,1000,400,6001,73730,false,99,
ordinary-queue,draft06,6200,ProbeRTT,100,400,101,73730,292000,146000,0,0,1000,400,6001,73730,false,199,
ordinary-queue,draft06,6300,ProbeRTT,100,400,101,73730,146000,0,0,0,1000,400,6001,73730,false,299,
ordinary-queue,draft06,6350,ProbeRTT,100,400,101,73730,73000,0,6550,7665000,1000,400,6001,73730,false,349,timer-start;
ordinary-queue,draft06,6400,ProbeRTT,100,400,101,73730,73000,1460,6550,7665000,1000,400,6001,73730,false,399,
ordinary-queue,draft06,6500,ProbeRTT,100,101,101,73730,73000,1460,6550,7665000,1000,101,6452,73730,true,499,
ordinary-queue,draft06,6553,ProbeBW,100,101,101,73730,73000,1460,6550,7665000,1000,101,6553,73730,true,552,exit;
ordinary-queue,draft06,6600,ProbeBW,100,101,101,73730,73000,1460,6550,7665000,1000,101,6553,73730,true,552,
ordinary-queue,draft06,6700,ProbeBW,100,101,101,73730,147460,1460,6550,7665000,1000,101,6553,73730,true,552,
ordinary-queue,draft06,6800,ProbeBW,100,101,101,73730,147460,1460,6550,7665000,1000,101,6553,73730,true,552,
ordinary-queue,draft06,6900,ProbeBW,100,101,101,73730,147460,1460,6550,7665000,1000,101,6553,73730,true,552,
ordinary-queue,draft06,7000,ProbeBW,100,101,101,73730,147460,1460,6550,7665000,1000,101,6553,73730,true,552,
ordinary-queue,draft06,7100,ProbeBW,100,101,101,73730,147460,1460,6550,7665000,1000,101,6553,73730,true,552,
