run,time_us,packet,boundary,delivered_bytes,live_records,first_send_us,delivered_time_us,app_marker,sample_bytes,send_elapsed_us,ack_elapsed_us,interval_us,rtt_us,rate_bytes_per_sec,valid,app_limited
ordinary/q4/per-opportunity,42010,0,registration,1200,43,1000,42010,0,1200,0,41010,41010,41010,29261.155815654718,true,false
ordinary/q4/per-opportunity,42010,0,acceptance,1200,43,1000,42010,0,1200,0,41010,41010,41010,29261.155815654718,true,false
ordinary/q4/per-opportunity,42010,0,departure,1200,43,1000,42010,0,1200,0,41010,41010,41010,29261.155815654718,true,false
ordinary/q4/per-opportunity,43010,1,registration,2400,42,1000,43010,0,2400,0,42010,42010,42010,57129.25493930017,true,false
ordinary/q4/per-opportunity,43010,1,acceptance,2400,42,1000,43010,0,2400,0,42010,42010,42010,57129.25493930017,true,false
ordinary/q4/per-opportunity,43010,1,departure,2400,42,1010,43010,0,2400,10,42010,42010,42000,57129.25493930017,true,false
ordinary/q4/per-opportunity,44010,2,registration,3600,41,1000,44010,0,3600,0,43010,43010,43010,83701.46477563358,true,false
ordinary/q4/per-opportunity,44010,2,acceptance,3600,41,1000,44010,0,3600,0,43010,43010,43010,83701.46477563358,true,false
ordinary/q4/per-opportunity,44010,2,departure,3600,41,1020,44010,0,3600,20,43010,43010,42990,83701.46477563358,true,false
ordinary/q4/per-opportunity,45010,3,registration,4800,44,1000,45010,0,4800,0,44010,44010,44010,109066.12133605998,true,false
ordinary/q4/per-opportunity,45010,3,acceptance,4800,44,1000,45010,0,4800,0,44010,44010,44010,109066.12133605998,true,false
ordinary/q4/per-opportunity,45010,3,departure,4800,41,1030,45010,0,4800,30,44010,44010,43980,109066.12133605998,true,false
ordinary/q4/per-opportunity,46010,4,registration,6000,43,5000,46010,0,6000,4000,45010,45010,41010,133303.710286603,true,false
ordinary/q4/per-opportunity,46010,4,acceptance,6000,43,5000,46010,0,6000,4000,45010,45010,41010,133303.710286603,true,false
ordinary/q4/per-opportunity,46010,4,departure,6000,43,5000,46010,0,6000,4000,45010,45010,41010,133303.710286603,true,false
