scenario,quantum_packets,policy,packets,max_reg_mbps,max_accept_mbps,max_depart_mbps,max_paired_rate_gap_fraction_capacity,min_reg_rtt_ms,min_accept_rtt_ms,min_depart_rtt_ms,max_reg_depart_rtt_bias_ms,max_submission_bytes_per_worker_wakeup,max_entry_bytes,max_queue_entries,max_queued_bytes,queue_blocked_ticks,credit_blocked_ticks,reg_peak_live,accept_peak_live,depart_peak_live,reg_final_live,reg_delivered,accept_delivered,depart_delivered,invalid_reg,invalid_accept,invalid_depart,limited_reg,limited_accept,limited_depart,host_contiguous_burst_bytes,last_ack_us,fault_triggered
ordinary,1,false,1024,9.6,9.6,9.6,0,41.01,41.01,41.01,0,1200,1200,1,1200,0,0,42,42,42,0,1228800,1228800,1228800,0,0,0,0,0,0,1200,1065010,false
ordinary,1,true,1024,9.6,9.6,9.6,0,41.01,41.01,41.01,0,1200,1200,1,1200,0,0,42,42,42,0,1228800,1228800,1228800,0,0,0,0,0,0,1200,1065010,false
ordinary,4,false,1024,9.6,9.6,9.6,0.022505114798817862,41.01,41.01,41.01,0.03,4800,1200,4,4800,0,0,45,45,44,0,1228800,1228800,1228800,0,0,0,0,0,0,4800,1065010,false
ordinary,4,true,1024,9.6,9.6,9.6,0.022505114798817862,41.01,41.01,41.01,0.03,4800,1200,4,4800,0,0,45,45,44,0,1228800,1228800,1228800,0,0,0,0,0,0,4800,1065010,false
ordinary,16,false,1024,9.6,9.6,9.6,0.020629297770368867,41.01,41.01,41.01,0.07,9600,1200,8,9600,0,0,49,49,48,0,1228800,1228800,1228800,0,0,0,0,0,0,9600,1065010,false
ordinary,16,true,1024,9.6,9.6,9.6,0.020629297770368867,41.01,41.01,41.01,0.07,9600,1200,8,9600,0,0,49,49,48,0,1228800,1228800,1228800,0,0,0,0,0,0,9600,1065010,false
delay-5ms,1,false,1024,9.6,9.6,9.6,0.5114191569139871,46.01,41.01,41.01,5,1200,1200,6,7200,0,0,47,42,42,0,1228800,1228800,1228800,0,0,0,0,0,0,1200,1070010,false
delay-5ms,1,true,1024,1.8823529411764706,1.8823529411764706,1.8823529411764706,0.08727634237244022,46.01,41.01,41.01,5,1200,1200,1,1200,0,41943,10,9,9,0,1228800,1228800,1228800,0,0,0,0,0,0,1200,5264310,false
delay-5ms,4,false,1024,9.6,9.6,9.6,0.4839264595204817,46.01,41.01,41.01,5.03,4800,1200,8,9600,0,0,50,45,44,0,1228800,1228800,1228800,0,0,0,0,0,0,4800,1070010,false
delay-5ms,4,true,1024,7.529411764705882,7.529411764705882,7.529411764705882,0.3628618236884892,46.01,41.01,41.01,5.03,4800,1200,4,4800,0,2805,40,36,36,0,1228800,1228800,1228800,0,0,0,0,0,0,4800,1350510,false
delay-5ms,16,false,1024,9.6,9.6,9.6,0.12390488110137676,46.01,41.01,41.01,5.07,9600,1200,8,9600,0,0,54,49,48,0,1228800,1228800,1228800,0,0,0,0,0,0,9600,1070010,false
delay-5ms,16,true,1024,9.6,9.6,9.6,0.12390488110137676,46.01,41.01,41.01,5.07,9600,1200,8,9600,0,0,54,49,48,0,1228800,1228800,1228800,0,0,0,0,0,0,9600,1070010,false
delay-40ms,1,false,1024,2.0098522167487687,2.1021897810218975,2.1021897810218975,0.13708472736380442,81.01,41.01,41.01,40,1200,1200,8,9600,40767,0,17,9,9,0,1228800,1228800,1228800,0,0,0,0,0,0,1200,5181710,false
delay-40ms,1,true,1024,0.23940149625935161,0.23940149625935161,0.23940149625935161,0.012040141470458263,81.01,41.01,41.01,40,1200,1200,1,1200,0,399993,3,2,2,0,1228800,1228800,1228800,0,0,0,0,0,0,1200,41104310,false
delay-40ms,4,false,1024,2.2802850356294537,2.612244897959184,2.612244897959184,0.14721617317600683,81.01,41.01,41.01,40.03,4800,1200,8,9600,40767,0,20,12,12,0,1228800,1228800,1228800,0,0,0,0,0,0,4800,5181710,false
delay-40ms,4,true,1024,0.9576059850374065,0.9576059850374065,0.9576059850374065,0.043275055087116605,81.01,41.01,41.01,40.03,4800,1200,4,4800,0,92055,12,8,8,0,1228800,1228800,1228800,0,0,0,0,0,0,4800,10310510,false
delay-40ms,16,false,1024,1.915211970074813,1.915211970074813,1.915211970074813,0.07573319017235952,81.01,41.01,41.01,40.07,9600,1200,8,9600,40767,0,24,16,16,0,1228800,1228800,1228800,0,0,0,0,0,0,9600,5181710,false
delay-40ms,16,true,1024,1.915211970074813,1.915211970074813,1.915211970074813,0.07573319017235952,81.01,41.01,41.01,40.07,9600,1200,8,9600,40767,0,24,16,16,0,1228800,1228800,1228800,0,0,0,0,0,0,9600,5181710,false
