File: head-index.test
Build ID: 9f47ec2daa874763ebe73614b19ea06d08076d29
Type: delay
Time: 2026-09-06 19:21:46 UTC
Showing nodes accounting for 4122.46ms, 100% of 4122.52ms total
Dropped 6 nodes (cum <= 20.61ms)
      flat  flat%   sum%        cum   cum%
 2087.40ms 50.63% 50.63%  2087.40ms 50.63%  runtime.chanrecv1
 2035.05ms 49.36%   100%  2035.05ms 49.36%  runtime.selectgo
         0     0%   100%  2035.11ms 49.37%  github.com/quic-go/quic-go.(*datagramQueue).Receive
         0     0%   100%  2035.77ms 49.38%  github.com/quic-go/quic-go.TestDatagramReceivePacedExperiment.func2
         0     0%   100%  2086.74ms 50.62%  github.com/quic-go/quic-go.TestMain
         0     0%   100%  2086.74ms 50.62%  main.main
         0     0%   100%  2086.74ms 50.62%  runtime.main
         0     0%   100%  2086.74ms 50.62%  testing.(*M).Run
         0     0%   100%  2086.74ms 50.62%  testing.(*T).Run
         0     0%   100%  2086.74ms 50.62%  testing.runTests
         0     0%   100%  2086.74ms 50.62%  testing.runTests.func1
         0     0%   100%  2086.75ms 50.62%  testing.tRunner
