File: head-index.test
Type: delay
Showing nodes accounting for 49.08ms, 99.44% of 49.36ms total
Dropped 12 nodes (cum <= 0.25ms)
      flat  flat%   sum%        cum   cum%
   46.27ms 93.74% 93.74%    46.27ms 93.74%  runtime.selectnbsend
    1.74ms  3.52% 97.26%     1.74ms  3.52%  [head-index.test]
    0.66ms  1.34% 98.60%     0.66ms  1.34%  runtime.systemstack_switch
    0.32ms  0.64% 99.25%     0.32ms  0.64%  time.Now
    0.06ms  0.13% 99.37%       47ms 95.21%  github.com/quic-go/quic-go.TestDatagramReceivePacedExperiment
    0.03ms 0.067% 99.44%     0.31ms  0.64%  runtime.gcMarkDone
         0     0% 99.44%    46.58ms 94.36%  github.com/quic-go/quic-go.(*datagramQueue).HandleDatagramFrame
         0     0% 99.44%     0.56ms  1.13%  runtime.gcBgMarkWorker
         0     0% 99.44%     0.34ms  0.69%  runtime.gcStart
         0     0% 99.44%     0.31ms  0.62%  runtime.makeslice
         0     0% 99.44%     0.31ms  0.62%  runtime.mallocgc
         0     0% 99.44%     0.31ms  0.62%  runtime.mallocgcSmallNoscan
         0     0% 99.44%       47ms 95.21%  testing.tRunner
